postal_code,zip_emb_0,zip_emb_1,zip_emb_2,zip_emb_3,zip_emb_4,zip_emb_5,zip_emb_6,zip_emb_7,zip_emb_8,zip_emb_9,zip_emb_10,zip_emb_11,zip_emb_12,zip_emb_13,zip_emb_14,zip_emb_15,zip_emb_16,zip_emb_17,zip_emb_18,zip_emb_19,zip_emb_20,zip_emb_21,zip_emb_22,zip_emb_23,zip_emb_24,zip_emb_25,zip_emb_26,zip_emb_27,zip_emb_28,zip_emb_29,zip_emb_30,zip_emb_31
,0.4310872,-0.89465976,-0.46748608,-0.815637,-0.38373065,0.16025968,0.002222538,-0.111722045,0.3425445,-0.3804571,0.43716943,-0.6816787,-0.21968001,-0.7328856,0.1882926,-0.30263245,-1.0537331,0.07857277,0.49546742,-0.587004,0.08326567,-0.29548112,-1.0688745,-0.2703405,-0.19104654,-0.03199225,0.2504576,0.15181917,0.1893887,-0.95582646,1.055582,0.065798536
07836,0.45178282,-0.37801567,0.062261555,0.29583493,0.30472547,0.98407465,0.13525115,0.28937477,0.23260202,-0.12046367,0.12089211,0.47846556,-0.051267482,0.7986068,-0.5281862,-0.2876032,-0.2904009,-0.58255976,0.29905224,-0.24050583,-0.26131293,0.5047761,-0.04661697,-0.35823697,0.045666546,0.06855631,1.0305605,0.5145302,-0.43750557,-0.34434912,0.7916709,0.085470974
08002,0.4228047,0.08058323,0.027833443,0.21303403,0.03957039,0.37185088,-0.121347144,-0.15814841,0.1894667,-0.22948606,0.22096841,0.37315923,0.060108636,0.5576454,-0.30922073,-0.080380395,-0.4733661,-0.4667489,0.1796823,-0.14185436,-0.021571107,0.2859179,-0.022099346,0.05607198,-0.22249794,0.10332163,0.65744746,0.5082797,-0.17214333,-0.4304381,0.72663784,0.32209927
08003,0.4522118,0.1279705,-0.02143588,0.13975969,0.06548296,0.37714723,-0.112832785,-0.16047572,0.20530121,-0.24416436,0.21622764,0.39906782,0.0698448,0.5704511,-0.29416016,-0.11195126,-0.535571,-0.5121658,0.19996592,-0.12168653,-0.052847274,0.28855947,-0.014912099,0.08135151,-0.27742916,0.106434695,0.63698626,0.5481261,-0.16742966,-0.49377233,0.76881623,0.35672796
08004,0.459482,0.1532005,-0.1106237,-0.121835634,-0.16065687,0.16852342,-0.10760419,-0.32497373,0.31941456,-0.32056755,0.24647881,0.1457221,0.034912627,0.30446216,-0.06299966,-0.1179868,-0.72325027,-0.39360693,0.2998982,-0.18272473,-0.05805553,0.16602287,-0.21954812,0.12086898,-0.34951913,0.17869222,0.3236644,0.47527418,0.036170848,-0.73651487,0.80479395,0.50794744
08007,0.49636537,0.25038445,0.003392093,0.1864498,-0.07738395,0.2361047,-0.2055057,-0.2985399,0.25755304,-0.29969996,0.28655177,0.38533705,0.06268065,0.5483717,-0.26369664,-0.08888818,-0.65649915,-0.4824788,0.19380005,-0.16756012,0.031857677,0.27984107,-0.07831757,0.17696711,-0.36727846,0.14369397,0.6106696,0.5795095,-0.09472854,-0.56818944,0.8469276,0.50533193
08009,0.39387274,0.18507673,-0.072270006,-0.08994134,-0.06925437,0.17134397,-0.075984776,-0.25866804,0.18745728,-0.22843896,0.17433314,0.20443274,0.058477737,0.34881157,-0.097162984,-0.068986535,-0.5709796,-0.38397017,0.22826387,-0.09075557,-0.045369834,0.13154885,-0.053928703,0.17072433,-0.28703055,0.12545511,0.30901238,0.410975,-0.011313694,-0.55104715,0.6455021,0.39981186
08010,0.447528,0.25281873,-0.012340076,-0.07674654,0.120623395,0.25595465,0.0027018562,-0.16629499,0.15336277,-0.15381093,0.14220814,0.32966876,0.09473037,0.53625673,-0.20149052,-0.104528606,-0.57681274,-0.47791517,0.26941758,-0.12115289,-0.07843727,0.2672084,0.073847204,0.25262368,-0.39625067,0.06937246,0.42128885,0.42569515,-0.020608908,-0.53822184,0.7193569,0.27712503
08012,0.43066865,0.1806706,0.010897845,0.031993777,0.11425315,0.33381185,-0.0631894,-0.08976906,0.19015326,-0.17623739,0.16232438,0.3131789,0.06303471,0.6067876,-0.2732619,-0.15441972,-0.56161046,-0.4720841,0.22214104,-0.107690886,-0.12769504,0.28857556,-0.026481882,0.15907174,-0.33656353,0.10055685,0.57394934,0.4724914,-0.09825254,-0.43247902,0.7858022,0.22801527
08016,0.4532029,0.31120512,0.033569187,0.018110707,0.028286085,0.19933651,-0.0720586,-0.2247568,0.18557878,-0.17819257,0.1814511,0.3121944,0.071681306,0.5300168,-0.19785279,-0.08884424,-0.6061815,-0.44780856,0.245598,-0.13794975,-0.026296996,0.25812864,0.018915832,0.2712959,-0.40895677,0.1010633,0.44426388,0.44531122,-0.011105755,-0.5268876,0.74437904,0.34614235
